Kuopio & 549 & 32122 & 5490 & 54900 & 3 & 1543.260 & 1843.340 & 300.080 & 1355.388 & 0.735 & 963.902 & 816.000 & 147.902 & 927.655 & 1.137 & 73.197741ms & 610.305µs & 0.610 & 119.921 
Lisbon & 7073 & 526169 & 70730 & 707300 & 3 & 1066.023 & 1474.800 & 408.777 & 2727.872 & 1.850 & 1156.085 & 858.000 & 298.085 & 2231.331 & 2.601 & 18.66212037s & 6.380123ms & 6.380 & 2924.999 
Luxembourg & 1367 & 186752 & 13670 & 136700 & 3 & 2405.136 & 2342.360 & 62.776 & 1096.706 & 0.468 & 909.470 & 456.000 & 453.470 & 740.313 & 1.623 & 859.35024ms & 1.12182ms & 1.122 & 765.978 
Melbourne & 19493 & 1098227 & 194930 & 1949300 & 3 & 8569.206 & 8146.120 & 423.086 & 5890.397 & 0.723 & 1800.190 & 1326.000 & 474.190 & 2951.665 & 2.226 & 166.728844652s & 19.868584ms & 19.869 & 8391.517 
Nantes & 2353 & 196376 & 23530 & 235300 & 3 & 3171.421 & 3292.760 & 121.339 & 2216.261 & 0.673 & 2247.782 & 2784.000 & 536.218 & 6892.180 & 2.476 & 2.237083841s & 2.284665ms & 2.285 & 979.140 
Palermo & 2176 & 226215 & 21760 & 217600 & 3 & 2718.609 & 2316.220 & 402.389 & 1161.648 & 0.502 & 496.122 & 492.000 & 4.122 & 736.706 & 1.497 & 1.771417274s & 1.968336ms & 1.968 & 899.917 
Paris & 11950 & 1823872 & 11950 & 1195000 & 3 & 4296.455 & 5710.800 & 1414.345 & 4495.854 & 0.787 & 441.501 & 630.000 & 188.499 & 1404.884 & 2.230 & 110.325059653s & 2.226729ms & 2.227 & 49543.526 
Prague & 5147 & 670421 & 51470 & 514700 & 3 & 3713.360 & 2978.400 & 734.960 & 3220.546 & 1.081 & 3078.589 & 1560.000 & 1518.589 & 3140.701 & 2.013 & 19.599455644s & 5.284039ms & 5.284 & 3709.125 
Rennes & 1407 & 109075 & 14070 & 140700 & 3 & 2879.312 & 3322.720 & 443.408 & 1937.221 & 0.583 & 864.149 & 1848.000 & 983.851 & 5536.722 & 2.996 & 585.460184ms & 1.304184ms & 1.304 & 448.881 
Rome & 7869 & 1051211 & 78690 & 786900 & 3 & 3915.730 & 4305.780 & 390.050 & 2306.717 & 0.536 & 817.100 & 1326.000 & 508.900 & 6857.108 & 5.171 & 55.143383448s & 8.07517ms & 8.075 & 6828.333 
Sydney & 24063 & 1265135 & 240630 & 2406300 & 3 & 6058.332 & 6062.600 & 4.268 & 4268.647 & 0.704 & 2709.395 & 2100.000 & 609.395 & 3344.966 & 1.593 & 242.448088553s & 23.400159ms & 23.400 & 10360.921 
Toulouse & 3329 & 224354 & 33290 & 332900 & 3 & 4668.833 & 4693.640 & 24.807 & 2352.078 & 0.501 & 2027.361 & 1326.000 & 701.361 & 2584.942 & 1.949 & 3.55436643s & 3.405277ms & 3.405 & 1043.758 
Turku & 1850 & 133512 & 18500 & 185000 & 3 & 1995.165 & 2132.220 & 137.055 & 1147.639 & 0.538 & 1169.335 & 954.000 & 215.335 & 2117.660 & 2.220 & 931.459337ms & 1.619812ms & 1.620 & 575.011 
Venice & 1874 & 118519 & 18740 & 187400 & 3 & 1925.388 & 2044.980 & 119.592 & 1762.666 & 0.862 & 2591.814 & 2796.000 & 204.186 & 5634.712 & 2.015 & 1.033463169s & 1.757172ms & 1.757 & 588.111 
Winnipeg & 5079 & 333882 & 50790 & 507900 & 3 & 3184.980 & 3405.920 & 220.940 & 1328.977 & 0.390 & 1132.216 & 1554.000 & 421.784 & 4824.944 & 3.105 & 6.8525076s & 5.455948ms & 5.456 & 1255.951 
