from_stop_I;to_stop_I;dep_time_ut;arr_time_ut;route_type;trip_I;seq;route_I
203;201;1481513640;1481513641;3;1824;24;5
365;367;1481513640;1481513700;3;88;8;37
153;151;1481513640;1481513700;3;1343;8;44
247;245;1481513640;1481513641;3;1138;10;6
340;338;1481513640;1481513641;3;1160;9;6
226;224;1481513640;1481513641;3;363;5;7
140;119;1481513640;1481513700;3;828;22;29
144;451;1481513640;1481513700;3;541;6;29
224;222;1481513641;1481513700;3;363;6;7
338;336;1481513641;1481513700;3;1160;10;6
245;62;1481513641;1481513700;3;1138;11;6
201;140;1481513641;1481513700;3;1824;25;5
79;344;1481513700;1481513760;3;879;11;30
163;377;1481513700;1481513760;3;580;6;36
367;375;1481513700;1481513701;3;88;9;37
140;119;1481513700;1481513760;3;1824;26;5
336;334;1481513700;1481513701;3;1160;11;6
343;353;1481513700;1481513701;3;590;1;5
25;66;1481513700;1481513760;3;585;19;41
119;117;1481513700;1481513760;3;828;23;29
451;146;1481513700;1481513760;3;541;7;29
151;150;1481513700;1481513701;3;1343;9;44
222;220;1481513700;1481513701;3;363;7;7
79;77;1481513700;1481513701;3;1433;1;39
62;64;1481513700;1481513701;3;1138;12;6
77;344;1481513701;1481513760;3;1433;2;39
220;218;1481513701;1481513760;3;363;8;7
64;68;1481513701;1481513760;3;1138;13;6
375;440;1481513701;1481513702;3;88;10;37
353;379;1481513701;1481513760;3;590;2;5
334;332;1481513701;1481513702;3;1160;12;6
150;36;1481513701;1481513760;3;1343;10;44
440;446;1481513702;1481514000;3;88;11;37
332;330;1481513702;1481513760;3;1160;13;6
146;164;1481513760;1481513820;3;541;8;29
344;75;1481513760;1481513761;3;1433;3;39
68;70;1481513760;1481513761;3;1138;14;6
379;360;1481513760;1481513820;3;590;3;5
117;115;1481513760;1481513761;3;828;24;29
36;148;1481513760;1481513761;3;1343;11;44
218;401;1481513760;1481513761;3;363;9;7
119;117;1481513760;1481513761;3;1824;27;5
330;328;1481513760;1481513761;3;1160;14;6
66;54;1481513760;1481513820;3;585;20;41
344;75;1481513760;1481513820;3;879;12;30
377;243;1481513760;1481513761;3;580;7;36
344;75;1481513760;1481513820;3;1508;10;38
117;115;1481513761;1481513820;3;1824;28;5
328;326;1481513761;1481513820;3;1160;15;6
148;33;1481513761;1481513762;3;1343;12;44
401;216;1481513761;1481513820;3;363;10;7
70;72;1481513761;1481513820;3;1138;15;6
243;414;1481513761;1481513820;3;580;8;36
115;344;1481513761;1481513820;3;828;25;29
75;49;1481513761;1481513820;3;1433;4;39
33;48;1481513762;1481513763;3;1343;13;44
48;30;1481513763;1481513820;3;1343;14;44
49;51;1481513820;1481513880;3;1433;5;39
72;53;1481513820;1481513940;3;1138;16;6
360;295;1481513820;1481513821;3;590;4;5
344;75;1481513820;1481513880;3;828;26;29
216;186;1481513820;1481513880;3;363;11;7
115;344;1481513820;1481513880;3;1824;29;5
164;28;1481513820;1481513880;3;541;9;29
414;177;1481513820;1481513880;3;580;9;36
326;324;1481513820;1481513821;3;1160;16;6
30;28;1481513820;1481513821;3;1343;15;44
75;49;1481513820;1481513880;3;1508;11;38
54;415;1481513820;1481513880;3;585;21;41
75;49;1481513820;1481513821;3;879;13;30
324;342;1481513821;1481513880;3;1160;17;6
28;3;1481513821;1481514300;3;1343;16;44
295;293;1481513821;1481513880;3;590;5;5
49;51;1481513821;1481513880;3;879;14;30
51;399;1481513880;1481514000;3;1433;6;39
49;51;1481513880;1481513940;3;1508;12;38
186;214;1481513880;1481514000;3;363;12;7
342;322;1481513880;1481514000;3;1160;18;6
293;291;1481513880;1481513881;3;590;6;5
28;6;1481513880;1481514300;3;541;10;29
344;75;1481513880;1481513881;3;1824;30;5
75;49;1481513880;1481513940;3;828;27;29
177;175;1481513880;1481513940;3;580;10;36
415;34;1481513880;1481513940;3;585;22;41
51;399;1481513880;1481514000;3;879;15;30
75;49;1481513881;1481513940;3;1824;31;5
291;287;1481513881;1481513882;3;590;7;5
287;297;1481513882;1481513883;3;590;8;5
297;299;1481513883;1481513940;3;590;9;5
49;51;1481513940;1481514000;3;828;28;29
34;32;1481513940;1481513941;3;585;23;41
175;453;1481513940;1481514000;3;580;11;36
49;51;1481513940;1481513941;3;1824;32;5
51;3;1481513940;1481514300;3;1508;13;38
299;301;1481513940;1481513941;3;590;10;5
53;73;1481513940;1481514000;3;1138;17;6
51;1;1481513941;1481514000;3;1824;33;5
301;303;1481513941;1481514000;3;590;11;5
32;147;1481513941;1481513942;3;585;24;41
147;35;1481513942;1481514000;3;585;25;41
4;50;1481514000;1481514060;3;761;27;38
303;305;1481514000;1481514001;3;590;12;5
35;149;1481514000;1481514001;3;585;26;41
6;50;1481514000;1481514060;3;650;1;7
322;320;1481514000;1481514060;3;1160;19;6
446;438;1481514000;1481514001;3;88;12;37
399;65;1481514000;1481514060;3;1433;7;39
73;6;1481514000;1481514600;3;1138;18;6
51;25;1481514000;1481514900;3;828;29;29
453;73;1481514000;1481514001;3;580;12;36
214;212;1481514000;1481514060;3;363;13;7
149;151;1481514001;1481514002;3;585;27;41
438;442;1481514001;1481514060;3;88;13;37
305;307;1481514001;1481514060;3;590;13;5
73;5;1481514001;1481514300;3;580;13;36
151;152;1481514002;1481514060;3;585;28;41
50;7;1481514060;1481514120;3;650;2;7
152;100;1481514060;1481514120;3;585;29;41
320;318;1481514060;1481514061;3;1160;20;6
212;87;1481514060;1481514120;3;363;14;7
442;444;1481514060;1481514120;3;88;14;37
50;7;1481514060;1481514120;3;761;28;38
307;309;1481514060;1481514061;3;590;14;5
65;52;1481514060;1481514120;3;1433;8;39
309;285;1481514061;1481514120;3;590;15;5
318;1268;1481514061;1481514120;3;1160;21;6
285;313;1481514120;1481514180;3;590;16;5
87;85;1481514120;1481514121;3;363;15;7
7;74;1481514120;1481514180;3;761;29;38
7;74;1481514120;1481514121;3;650;3;7
100;102;1481514120;1481514121;3;585;30;41
1268;316;1481514120;1481514121;3;1160;22;6
52;98;1481514120;1481514180;3;1433;9;39
444;448;1481514120;1481514180;3;88;15;37
102;104;1481514121;1481514180;3;585;31;41
316;282;1481514121;1481514180;3;1160;23;6
85;83;1481514121;1481514180;3;363;16;7
74;76;1481514121;1481514180;3;650;4;7
83;79;1481514180;1481514240;3;363;17;7
98;1131;1481514180;1481514360;3;1433;10;39
313;311;1481514180;1481514240;3;590;17;5
282;281;1481514180;1481514181;3;1160;24;6
76;78;1481514180;1481514240;3;650;5;7
104;106;1481514180;1481514240;3;585;32;41
74;76;1481514180;1481514240;3;761;30;38
448;436;1481514180;1481514240;3;88;16;37
281;279;1481514181;1481514240;3;1160;25;6
78;82;1481514240;1481514300;3;650;6;7
311;279;1481514240;1481514300;3;590;18;5
106;154;1481514240;1481514241;3;585;33;41
76;96;1481514240;1481514300;3;761;31;38
436;196;1481514240;1481514300;3;88;17;37
279;277;1481514240;1481514241;3;1160;26;6
79;77;1481514240;1481514300;3;363;18;7
154;156;1481514241;1481514300;3;585;34;41
277;275;1481514241;1481514300;3;1160;27;6
96;240;1481514300;1481514420;3;761;32;38
82;84;1481514300;1481514301;3;650;7;7
196;16;1481514300;1481514360;3;88;18;37
3;191;1481514300;1481514301;3;1343;17;44
275;273;1481514300;1481514301;3;1160;28;6
156;158;1481514300;1481514420;3;585;35;41
6;50;1481514300;1481514360;3;541;11;29
77;344;1481514300;1481514360;3;363;19;7
279;277;1481514300;1481514360;3;590;19;5
5;50;1481514300;1481514360;3;580;14;36
3;191;1481514300;1481514360;3;1508;14;38
191;193;1481514301;1481514360;3;1343;18;44
84;86;1481514301;1481514360;3;650;8;7
273;203;1481514301;1481514360;3;1160;29;6
344;75;1481514360;1481514420;3;363;20;7
203;201;1481514360;1481514420;3;1160;30;6
16;194;1481514360;1481514420;3;88;19;37
86;211;1481514360;1481514420;3;650;9;7
277;275;1481514360;1481514420;3;590;20;5
191;193;1481514360;1481514420;3;1508;15;38
50;7;1481514360;1481514361;3;541;12;29
193;15;1481514360;1481514420;3;1343;19;44
1131;455;1481514360;1481514540;3;1433;11;39
50;7;1481514360;1481514420;3;580;15;36
7;74;1481514361;1481514420;3;541;13;29
75;49;1481514420;1481514480;3;363;21;7
275;273;1481514420;1481514421;3;590;21;5
194;192;1481514420;1481514480;3;88;20;37
240;242;1481514420;1481514480;3;761;33;38
240;242;1481514420;1481514480;3;999;1;38
193;15;1481514420;1481514480;3;1508;16;38
211;213;1481514420;1481514421;3;650;10;7
7;74;1481514420;1481514421;3;580;16;36
74;345;1481514420;1481514480;3;541;14;29
201;140;1481514420;1481514540;3;1160;31;6
15;195;1481514420;1481514480;3;1343;20;44
74;345;1481514421;1481514480;3;580;17;36
273;203;1481514421;1481514422;3;590;22;5
213;185;1481514421;1481514540;3;650;11;7
203;201;1481514422;1481514423;3;590;23;5
201;140;1481514423;1481514540;3;590;24;5
15;197;1481514480;1481514540;3;1508;17;38
192;4;1481514480;1481515200;3;88;21;37
242;160;1481514480;1481514540;3;761;34;38
195;198;1481514480;1481514481;3;1343;21;44
49;51;1481514480;1481514540;3;363;22;7
345;114;1481514480;1481514481;3;580;18;36
242;160;1481514480;1481514540;3;999;2;38
345;114;1481514480;1481514540;3;541;15;29
114;116;1481514481;1481514540;3;580;19;36
198;120;1481514481;1481514660;3;1343;22;44
140;119;1481514540;1481514600;3;590;25;5
114;116;1481514540;1481514541;3;541;16;29
140;119;1481514540;1481514600;3;1160;32;6
185;215;1481514540;1481514600;3;650;12;7
197;435;1481514540;1481514600;3;1508;18;38
455;466;1481514540;1481514780;3;1433;12;39
160;159;1481514540;1481514600;3;999;3;38
160;159;1481514540;1481514541;3;761;35;38
51;1;1481514540;1481514660;3;363;23;7
116;118;1481514540;1481514541;3;580;20;36
159;402;1481514541;1481514600;3;761;36;38
116;118;1481514541;1481514600;3;541;17;29
118;139;1481514541;1481514600;3;580;21;36
215;400;1481514600;1481514601;3;650;13;7
159;402;1481514600;1481514660;3;999;4;38
139;200;1481514600;1481514720;3;580;22;36
119;117;1481514600;1481514660;3;1160;33;6
118;120;1481514600;1481514660;3;541;18;29
435;447;1481514600;1481514660;3;1508;19;38
402;1320;1481514600;1481514601;3;761;37;38
119;117;1481514600;1481514601;3;590;26;5
6;50;1481514600;1481514660;3;1138;19;6
1320;94;1481514601;1481514660;3;761;38;38
117;115;1481514601;1481514660;3;590;27;5
400;217;1481514601;1481514660;3;650;14;7
50;7;1481514660;1481514720;3;1138;20;6
115;344;1481514660;1481514720;3;590;28;5
117;115;1481514660;1481514661;3;1160;34;6
447;443;1481514660;1481514720;3;1508;20;38
120;122;1481514660;1481514661;3;541;19;29
217;219;1481514660;1481514720;3;650;15;7
120;122;1481514660;1481514661;3;1343;23;44
402;1320;1481514660;1481514661;3;999;5;38
122;123;1481514661;1481514720;3;1343;24;44
1320;94;1481514661;1481514720;3;999;6;38
122;417;1481514661;1481514840;3;541;20;29
115;344;1481514661;1481514720;3;1160;35;6
108;117;1481514720;1481514780;3;816;1;9
219;221;1481514720;1481514721;3;650;16;7
200;204;1481514720;1481514780;3;580;23;36
94;97;1481514720;1481514780;3;999;7;38
7;74;1481514720;1481514780;3;1138;21;6
123;125;1481514720;1481514780;3;1343;25;44
344;75;1481514720;1481514721;3;590;29;5
344;75;1481514720;1481514721;3;1160;36;6
443;441;1481514720;1481514780;3;1508;21;38
75;49;1481514721;1481514780;3;1160;37;6
221;223;1481514721;1481514780;3;650;17;7
75;49;1481514721;1481514780;3;590;30;5
117;115;1481514780;1481514781;3;816;2;9
49;51;1481514780;1481514840;3;590;31;5
223;225;1481514780;1481514840;3;650;18;7
49;51;1481514780;1481514840;3;1160;38;6
441;437;1481514780;1481514840;3;1508;22;38
74;345;1481514780;1481514840;3;1138;22;6
97;77;1481514780;1481514840;3;999;8;38
125;127;1481514780;1481515200;3;1343;26;44
466;468;1481514780;1481514900;3;1433;13;39
204;205;1481514780;1481514781;3;580;24;36
115;344;1481514781;1481514840;3;816;3;9
205;207;1481514781;1481514840;3;580;25;36
344;75;1481514840;1481514900;3;816;4;9
207;209;1481514840;1481514900;3;580;26;36
225;227;1481514840;1481514960;3;650;19;7
51;26;1481514840;1481515800;3;1160;39;6
51;1;1481514840;1481514960;3;590;32;5
345;114;1481514840;1481514841;3;1138;23;6
437;445;1481514840;1481515080;3;1508;23;38
77;344;1481514840;1481514960;3;999;9;38
417;403;1481514840;1481514900;3;541;21;29
114;116;1481514841;1481514900;3;1138;24;6
25;27;1481514900;1481514901;3;828;30;29
209;288;1481514900;1481514960;3;580;27;36
75;49;1481514900;1481514960;3;816;5;9
158;157;1481514900;1481514960;3;1266;1;41
116;118;1481514900;1481514901;3;1138;25;6
403;405;1481514900;1481514960;3;541;22;29
468;480;1481514900;1481514960;3;1433;14;39
27;161;1481514901;1481514960;3;828;31;29
118;139;1481514901;1481514960;3;1138;26;6
480;1269;1481514960;1481515020;3;1433;15;39
157;155;1481514960;1481514961;3;1266;2;41
227;230;1481514960;1481514961;3;650;20;7
139;200;1481514960;1481515080;3;1138;27;6
405;1187;1481514960;1481515020;3;541;23;29
49;51;1481514960;1481515020;3;816;6;9
288;264;1481514960;1481514961;3;580;28;36
344;75;1481514960;1481515020;3;999;10;38
161;145;1481514960;1481515020;3;828;32;29
264;262;1481514961;1481515020;3;580;29;36
230;231;1481514961;1481515020;3;650;21;7
155;107;1481514961;1481515020;3;1266;3;41
51;399;1481515020;1481515500;3;816;7;9
75;49;1481515020;1481515080;3;999;11;38
231;233;1481515020;1481515140;3;650;22;7
107;105;1481515020;1481515021;3;1266;4;41
145;450;1481515020;1481515021;3;828;33;29
262;314;1481515020;1481515200;3;580;30;36
1187;357;1481515020;1481515320;3;541;24;29
105;103;1481515021;1481515080;3;1266;5;41
450;143;1481515021;1481515080;3;828;34;29
49;51;1481515080;1481515140;3;999;12;38
103;101;1481515080;1481515140;3;1266;6;41
143;37;1481515080;1481515140;3;828;35;29
200;202;1481515080;1481515140;3;1138;28;6
1349;1348;1481515080;1481515140;3;1115;1;29
445;439;1481515080;1481515140;3;1508;24;38
202;272;1481515140;1481515200;3;1138;29;6
37;39;1481515140;1481515200;3;828;36;29
439;433;1481515140;1481515141;3;1508;25;38
1348;445;1481515140;1481515200;3;1115;2;29
101;153;1481515140;1481515200;3;1266;7;41
51;3;1481515140;1481515800;3;999;13;38
433;368;1481515141;1481515200;3;1508;26;38
129;130;1481515200;1481515260;3;565;1;44
108;117;1481515200;1481515260;3;1722;1;3
445;439;1481515200;1481515260;3;1115;3;29
25;66;1481515200;1481515260;3;143;1;41
127;129;1481515200;1481515201;3;1343;27;44
45;44;1481515200;1481515260;3;53;1;29
39;41;1481515200;1481515260;3;828;37;29
368;362;1481515200;1481515201;3;1508;27;38
272;274;1481515200;1481515260;3;1138;30;6
153;151;1481515200;1481515260;3;1266;8;41
5;50;1481515200;1481515260;3;1249;1;5
4;66;1481515200;1481515260;3;88;22;37
129;130;1481515201;1481515260;3;1343;28;44
362;370;1481515201;1481515260;3;1508;28;38
274;276;1481515260;1481515320;3;1138;31;6
117;115;1481515260;1481515261;3;1722;2;3
370;372;1481515260;1481515320;3;1508;29;38
151;150;1481515260;1481515380;3;1266;9;41
41;43;1481515260;1481515320;3;828;38;29
130;131;1481515260;1481515320;3;1343;29;44
66;54;1481515260;1481515320;3;143;2;41
130;131;1481515260;1481515320;3;565;2;44
44;42;1481515260;1481515261;3;53;2;29
439;374;1481515260;1481515261;3;1115;4;29
50;7;1481515260;1481515261;3;1249;2;5
66;452;1481515260;1481515320;3;88;23;37
374;366;1481515261;1481515320;3;1115;5;29
115;344;1481515261;1481515320;3;1722;3;3
7;74;1481515261;1481515320;3;1249;3;5
42;40;1481515261;1481515320;3;53;3;29
344;75;1481515320;1481515380;3;1722;4;3
846;461;1481515320;1481516100;3;1915;1;39
74;345;1481515320;1481515321;3;1249;4;5
276;278;1481515320;1481515380;3;1138;32;6
357;343;1481515320;1481515321;3;541;25;29
372;429;1481515320;1481515321;3;1508;30;38
366;364;1481515320;1481515380;3;1115;6;29
452;174;1481515320;1481515380;3;88;24;37
54;415;1481515320;1481515380;3;143;3;41
43;45;1481515320;1481515440;3;828;39;29
131;132;1481515320;1481515321;3;1343;30;44
40;38;1481515320;1481515380;3;53;4;29
131;132;1481515320;1481515321;3;565;3;44
345;114;1481515321;1481515380;3;1249;5;5
429;428;1481515321;1481515380;3;1508;31;38
132;133;1481515321;1481515380;3;565;4;44
132;133;1481515321;1481515380;3;1343;31;44
343;353;1481515321;1481515380;3;541;26;29
353;235;1481515380;1481515440;3;541;27;29
133;134;1481515380;1481515381;3;1343;32;44
174;176;1481515380;1481515381;3;88;25;37
114;116;1481515380;1481515381;3;1249;6;5
415;34;1481515380;1481515440;3;143;4;41
428;426;1481515380;1481515440;3;1508;32;38
75;49;1481515380;1481515440;3;1722;5;3
364;391;1481515380;1481515381;3;1115;7;29
150;36;1481515380;1481515440;3;1266;10;41
278;280;1481515380;1481515440;3;1138;33;6
38;144;1481515380;1481515440;3;53;5;29
133;134;1481515380;1481515381;3;565;5;44
391;380;1481515381;1481515440;3;1115;8;29
176;413;1481515381;1481515440;3;88;26;37
116;118;1481515381;1481515440;3;1249;7;5
134;135;1481515381;1481515440;3;565;6;44
134;135;1481515381;1481515440;3;1343;33;44
36;148;1481515440;1481515500;3;1266;11;41
479;481;1481515440;1481515441;3;356;1;30
235;239;1481515440;1481515500;3;541;28;29
135;136;1481515440;1481515500;3;565;7;44
135;136;1481515440;1481515500;3;1343;34;44
280;283;1481515440;1481515500;3;1138;34;6
413;241;1481515440;1481515441;3;88;27;37
144;451;1481515440;1481515500;3;53;6;29
380;80;1481515440;1481515500;3;1115;9;29
118;139;1481515440;1481515500;3;1249;8;5
34;32;1481515440;1481515441;3;143;5;41
49;51;1481515440;1481515500;3;1722;6;3
426;424;1481515440;1481515500;3;1508;33;38
481;469;1481515441;1481515500;3;356;2;30
241;95;1481515441;1481515500;3;88;28;37
32;147;1481515441;1481515500;3;143;6;41
148;33;1481515500;1481515560;3;1266;12;41
136;137;1481515500;1481515501;3;565;8;44
424;422;1481515500;1481515501;3;1508;34;38
51;399;1481515500;1481516100;3;1722;7;3
1329;1331;1481515500;1481515560;3;241;1;6
451;146;1481515500;1481515560;3;53;7;29
399;65;1481515500;1481515560;3;816;8;9
147;35;1481515500;1481515501;3;143;7;41
139;200;1481515500;1481515620;3;1249;9;5
95;93;1481515500;1481515560;3;88;29;37
80;238;1481515500;1481515501;3;1115;10;29
113;112;1481515500;1481515501;3;975;1;40
469;467;1481515500;1481515501;3;356;3;30
239;81;1481515500;1481515560;3;541;29;29
283;315;1481515500;1481515560;3;1138;35;6
136;137;1481515500;1481515501;3;1343;35;44
35;149;1481515501;1481515560;3;143;8;41
422;396;1481515501;1481515560;3;1508;35;38
112;110;1481515501;1481515560;3;975;2;40
467;1143;1481515501;1481515560;3;356;4;30
238;236;1481515501;1481515560;3;1115;11;29
137;138;1481515501;1481515560;3;1343;36;44
137;138;1481515501;1481515560;3;565;9;44
1143;456;1481515560;1481515740;3;356;5;30
396;238;1481515560;1481515620;3;1508;36;38
93;92;1481515560;1481515561;3;88;30;37
110;107;1481515560;1481515561;3;975;3;40
236;354;1481515560;1481515620;3;1115;12;29
315;1267;1481515560;1481515561;3;1138;36;6
146;164;1481515560;1481515620;3;53;8;29
81;381;1481515560;1481515561;3;541;30;29
1331;361;1481515560;1481515561;3;241;2;6
33;416;1481515560;1481515620;3;1266;13;41
138;128;1481515560;1481515561;3;565;10;44
65;52;1481515560;1481515620;3;816;9;9
149;151;1481515560;1481515620;3;143;9;41
381;392;1481515561;1481515620;3;541;31;29
128;126;1481515561;1481515620;3;565;11;44
92;90;1481515561;1481515620;3;88;31;37
361;390;1481515561;1481515620;3;241;3;6
1267;317;1481515561;1481515620;3;1138;37;6
107;105;1481515561;1481515620;3;975;4;40
129;130;1481515620;1481515680;3;870;1;41
105;103;1481515620;1481515680;3;975;5;40
200;202;1481515620;1481515680;3;1249;10;5
354;356;1481515620;1481515800;3;1115;13;29
52;98;1481515620;1481515680;3;816;10;9
416;53;1481515620;1481515680;3;1266;14;41
164;28;1481515620;1481515680;3;53;9;29
90;88;1481515620;1481515621;3;88;32;37
317;319;1481515620;1481515680;3;1138;38;6
