City,s1_at,s1_at_log,s1_aw,s1_aw_log,s1_eta,s1_eta_log,s100_at,s100_at_log,s100_aw,s100_aw_log,s100_eta,s100_eta_log,s300_at,s300_at_log,s300_aw,s300_aw_log,s300_eta,s300_eta_log,s500_at,s500_at_log,s500_aw,s500_aw_log,s500_eta,s500_eta_log,s1k_at,s1k_at_log,s1k_aw,s1k_aw_log,s1k_eta,s1k_eta_log
Melbourne,761.427,2.8821982676714324,191.518,2.2844713413001707,33.508,1.537919789365843,174.653,2.244655571562258,98.658,1.99851216722517,184.592,2.268559251889655,192.464,2.286600162864437,101.719,2.0116507827594754,2171.813,3.337022351004023,67.945,1.8385027759339583,8.696,0.986592606822211,17413.486,4.2409106604963505,13.947,1.1745540345208303,1.415,0.38291713508753095,37852.714,4.578108496532929
Nantes,456.759,2.6606368917217686,112.125,2.0535585922132595,43.508,1.648438079376235,0.241,0.09377178149872986,386.285,2.588030676579725,137.684,2.1420263593246753,6.581,0.8797264966395772,56.155,1.7570542290869438,1989.735,3.2990134520427623,1.707,0.4324882557705064,5.893,0.8384082784941868,21481.468,4.3320841735456845,10.9,1.0755469613925308,17.808,1.274342616116883,30003.123,4.4771809371568745
Palermo,230.996,2.365480496990454,76.867,1.891353442854057,6.508,0.8755242639493087,35.184,1.5585165747378622,19.175,1.304813543394108,54.076,1.740962391261556,20.472,1.331872498488898,21.345,1.349180358996378,1305.902,3.116243022580597,2.279,0.5157414166693652,6.32,0.8645110810583918,9727.248,3.988034633439623,11.22,1.0870712059065355,0.897,0.27806733088866253,21925.143,4.340962242204741
Paris,715.94,2.8554828115126343,455.674,2.659606286452721,6.246,0.8600983296985181,394.666,2.5973287324828687,5.722,0.8274985081334587,88.585,1.9522352980261761,16.01,1.230704313612569,42.623,1.6397155291620842,807.911,2.90790074122271,18.72,1.2949069106051925,15.428,1.2155846941816149,5076.133,3.705618540282591,19.632,1.314541329129881,5.588,0.8187535904977168,12325.575,4.090842422481356
Prague,269.756,2.4325780894451663,187.293,2.2748341749402896,17.431,1.265548899120325,271.754,2.4357711283353183,109.057,2.041617670375892,146.142,2.1677366548127783,63.879,1.8121041473401396,73.449,1.871858868677871,3478.632,3.541533316124682,17.559,1.268554571765275,19.245,1.3063177811044322,17052.1,4.231803338784038,27.198,1.4502183061999891,18.493,1.2898786827904163,42347.029,4.626833201813272
Rennes,119.817,2.082128047585953,229.781,2.363200050866622,5.846,0.8354368948018582,39.685,1.6094343203316324,183.457,2.265895141014102,56.482,1.7595318703503753,4.461,0.7372721765355434,24.387,1.4046113830153524,830.858,2.92004919758914,27.8,1.4593924877592308,16.924,1.2534349352410057,9910.904,3.9961570871056824,9.873,1.0363493880318382,13.981,1.1755408040167679,20077.113,4.302722894120577
Rome,146.248,2.1680494046824834,406.909,2.6105632875853395,13.697,1.167228694175993,61.204,1.7938183126984102,120.341,2.08400756974675,98.849,1.9993437197159187,19.268,1.3068108956186335,0.387,0.14207646107328487,1444.976,3.1601610846915236,3.418,0.6452257115354161,55.908,1.7551733228385715,10117.289,4.005107079630052,4.639,0.7512020945883532,22.105,1.3637059728547238,22746.094,4.356925922295256
Sydney,1281.571,3.108081415931789,2333.263,3.3681497861626424,44.195,1.6550903907290384,207.749,2.3196244036980485,196.855,2.296347029810394,171.649,2.237164067216376,15.571,1.2193487173135786,35.873,1.5667084733924672,2619.919,3.418453599200466,41.595,1.6293586225803407,30.092,1.4926486590334496,17416.801,4.240993324388724,12.56,1.1322596895310446,40.884,1.6220481509192477,35206.487,4.546635027598392
Toulouse,1.72,0.4345689040341987,654.813,2.81678002131826,15.51,1.2177470732627935,9.084,1.0036328370044083,45.143,1.6641058268797242,145.847,2.166865078562229,28.657,1.4721272171798518,9.811,1.0338658673479002,1935.357,3.2869854298508643,10.415,1.057475915826254,10.699,1.0681487409732937,15176.647,4.1812044478358565,21.352,1.3493163887701067,1.111,0.3244882333076563,33099.366,4.51983279591776
Turku,291.672,2.4663811753645692,74.182,1.8761138746820043,8.08,0.9580858485210851,22.93,1.3789426986134374,222.566,2.3494057565706554,58.408,1.7738449318820837,21.95,1.36078268987328,39.682,1.6094022954702931,764.517,2.8839548396119596,0.451,0.1616674124377359,13.364,1.1572753964540354,6763.92,3.830262665122262,3.229,0.6262376851469004,9.226,1.0097057883905183,14867.983,4.172281264917882
Venice,211.276,2.326900895453039,1.319,0.36530074863798734,10.968,1.078021580520386,75.228,1.8821145253012095,71.165,1.8583266159582454,102.567,2.015221396326696,5.22,0.7937903846908186,101.103,2.0090385027559092,1560.41,3.193516956462582,9.855,1.035629827790439,51.464,1.71986139932529,13642.32,4.134920065498836,3.871,0.6876181295717699,3.078,0.6104472214421212,24609.618,4.3911225194573715
Winnipeg,157.112,2.198964832209323,54.61,1.7451528950769004,11.817,1.1077863843159532,53.28,1.7346398389876994,339.754,2.5324409625778235,85.902,1.939029771603657,41.053,1.6237969831772532,135.048,2.133692161732475,907.297,2.958227879766278,6.139,0.8536373819585943,26.81,1.4442009888641596,9605.789,3.982578252121252,6.625,0.8822398480188234,1.934,0.4674601095072639,15293.782,4.184543291266969
